 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD             DrawDown
 1          1          1.00000000       1          1          1          123.25795360     -25.00000000     0.00000000          
 1          1          1.00000000       1          1          2          369.77386080     -25.00000000     35.10419293         
 1          1          1.00000000       1          1          3          606.42913170     -25.00000000     31.57683020         
 1          1          1.00000000       1          1          4          833.22376630     -25.00000000     28.75035466         
 1          1          1.00000000       1          1          5          1050.94661555    -25.00000000     26.34758352         
 1          1          1.00000000       1          1          6          1259.59767945    -25.00000000     24.25897784         
 1          1          1.00000000       1          1          7          1459.90270080    -25.00000000     22.39961729         
 1          1          1.00000000       1          1          8          1651.86167960    -25.00000000     20.73070851         
 1          1          1.00000000       1          1          9          1836.14229925    -25.00000000     19.21199253         
 1          1          1.00000000       1          1          10         2012.74455975    -25.00000000     17.82518279         
 1          1          1.00000000       1          1          11         2182.28272980    -25.00000000     16.54687299         
 1          1          1.00000000       1          1          12         2344.75680940    -25.00000000     15.36701332         
 1          1          1.00000000       1          1          13         2500.73192585    -25.00000000     14.27028321         
 1          1          1.00000000       1          1          14         2650.20807915    -25.00000000     13.25060326         
 1          1          1.00000000       1          1          15         2793.70518630    -25.00000000     12.29714439         
 1          1          1.00000000       1          1          16         2931.22324730    -25.00000000     11.40597991         
 1          1          1.00000000       1          1          17         3063.24058585    -25.00000000     10.56903603         
 1          1          1.00000000       1          1          18         3189.75720195    -25.00000000     9.78365323          
 1          1          1.00000000       1          1          19         3311.21315340    -25.00000000     9.04357371          
 1          1          1.00000000       1          1          20         3427.60844020    -25.00000000     8.34693050          
 1          1          1.00000000       1          1          21         3539.34791555    -25.00000000     7.68872936          
 1          1          1.00000000       1          1          22         3646.43157945    -25.00000000     7.06762265          
 1          1          1.00000000       1          1          23         3749.23189679    -25.00000000     6.47953327          
 1          1          1.00000000       1          1          24         3847.74886756    -25.00000000     5.92346656          
 1          1          1.00000000       1          1          25         3942.32515950    -25.00000000     5.39603406          
 1          1          1.00000000       1          1          26         4032.96077261    -25.00000000     4.89648821          
 1          1          1.00000000       1          1          27         4119.97096119    -25.00000000     4.42197199          
 1          1          1.00000000       1          1          28         4203.35572525    -25.00000000     3.97191510          
 1          1          1.00000000       1          1          29         4283.40509875    -25.00000000     3.54388008          
 1          1          1.00000000       1          1          30         4360.11908169    -25.00000000     3.13742638          
 1          1          1.00000000       1          1          31         4433.76450531    -25.00000000     2.75045412          
 1          1          1.00000000       1          1          32         4504.34136961    -25.00000000     2.38261937          
 1          1          1.00000000       1          1          33         4572.09515934    -25.00000000     2.03209826          
 1          1          1.00000000       1          1          34         4637.02587450    -25.00000000     1.69861986          
 1          1          1.00000000       1          1          35         4699.35936105    -25.00000000     1.38058910          
 1          1          1.00000000       1          1          36         4759.09561899    -25.00000000     1.07779087          
 1          1          1.00000000       1          1          37         4816.44242661    -25.00000000     0.78882201          
 1          1          1.00000000       1          1          38         4871.39978392    -25.00000000     0.51351057          
 1          1          1.00000000       1          1          39         4924.15884694    -25.00000000     0.25061599          
 1          1          1.00000000       1          1          40         4974.71961566    -25.00000000     0.00000000          
