 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     FBC                     CNH                     ABER
 1          1          1.00000000       1          1          1          6.18038240e+02   -6.18038240e+02  0.00000000e+00  
 1          1          1.00000000       1          1          2          -1.13686838e-13  0.00000000e+00   -1.13686838e-13 
 1          1          1.00000000       1          1          3          4.54747351e-13   0.00000000e+00   4.54747351e-13  
 1          1          1.00000000       1          1          4          1.13686838e-13   0.00000000e+00   1.13686838e-13  
 1          1          1.00000000       1          1          5          -1.25055521e-12  0.00000000e+00   -1.25055521e-12 
 1          1          1.00000000       1          1          6          1.59161573e-12   0.00000000e+00   1.59161573e-12  
 1          1          1.00000000       1          1          7          -1.13686838e-12  0.00000000e+00   -1.13686838e-12 
 1          1          1.00000000       1          1          8          -0.00000000e+00  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          9          1.13686838e-12   0.00000000e+00   1.13686838e-12  
 1          1          1.00000000       1          1          10         -2.84217094e-12  0.00000000e+00   -2.84217094e-12 
 1          1          1.00000000       1          1          11         3.06954462e-12   0.00000000e+00   3.06954462e-12  
 1          1          1.00000000       1          1          12         3.41060513e-13   0.00000000e+00   3.41060513e-13  
 1          1          1.00000000       1          1          13         -3.41060513e-12  0.00000000e+00   -3.41060513e-12 
 1          1          1.00000000       1          1          14         3.75166564e-12   0.00000000e+00   3.75166564e-12  
 1          1          1.00000000       1          1          15         -1.13686838e-13  0.00000000e+00   -1.13686838e-13 
 1          1          1.00000000       1          1          16         -2.27373675e-12  0.00000000e+00   -2.27373675e-12 
 1          1          1.00000000       1          1          17         1.25055521e-12   0.00000000e+00   1.25055521e-12  
 1          1          1.00000000       1          1          18         3.41060513e-13   0.00000000e+00   3.41060513e-13  
 1          1          1.00000000       1          1          19         -4.54747351e-12  0.00000000e+00   -4.54747351e-12 
 1          1          1.00000000       1          1          20         1.59161573e-12   0.00000000e+00   1.59161573e-12  
 1          1          1.00000000       1          1          21         5.22959454e-12   0.00000000e+00   5.22959454e-12  
 1          1          1.00000000       1          1          22         -2.38742359e-12  0.00000000e+00   -2.38742359e-12 
 1          1          1.00000000       1          1          23         -4.88853402e-12  0.00000000e+00   -4.88853402e-12 
 1          1          1.00000000       1          1          24         9.20863386e-12   0.00000000e+00   9.20863386e-12  
 1          1          1.00000000       1          1          25         -1.00044417e-11  0.00000000e+00   -1.00044417e-11 
 1          1          1.00000000       1          1          26         1.14823706e-11   0.00000000e+00   1.14823706e-11  
 1          1          1.00000000       1          1          27         -1.19371180e-11  0.00000000e+00   -1.19371180e-11 
 1          1          1.00000000       1          1          28         6.93489710e-12   0.00000000e+00   6.93489710e-12  
 1          1          1.00000000       1          1          29         -1.47792889e-12  0.00000000e+00   -1.47792889e-12 
 1          1          1.00000000       1          1          30         2.95585778e-12   0.00000000e+00   2.95585778e-12  
 1          1          1.00000000       1          1          31         -2.27373675e-13  0.00000000e+00   -2.27373675e-13 
 1          1          1.00000000       1          1          32         -1.01181286e-11  0.00000000e+00   -1.01181286e-11 
 1          1          1.00000000       1          1          33         1.12549969e-11   0.00000000e+00   1.12549969e-11  
 1          1          1.00000000       1          1          34         4.54747351e-13   0.00000000e+00   4.54747351e-13  
 1          1          1.00000000       1          1          35         -1.42108547e-11  0.00000000e+00   -1.42108547e-11 
 1          1          1.00000000       1          1          36         1.65982783e-11   0.00000000e+00   1.65982783e-11  
 1          1          1.00000000       1          1          37         -1.42108547e-11  0.00000000e+00   -1.42108547e-11 
 1          1          1.00000000       1          1          38         2.09183781e-11   0.00000000e+00   2.09183781e-11  
 1          1          1.00000000       1          1          39         -2.22826202e-11  0.00000000e+00   -2.22826202e-11 
 1          1          1.00000000       1          1          40         -6.18038240e+02  6.18038240e+02   0.00000000e+00  
