 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          1.00000000       1          1          1          123.25795360     -25.00000000     10.00000000         
 1          1          1.00000000       1          1          2          369.77386080     -25.00000000     14.89580707         
 1          1          1.00000000       1          1          3          606.42913170     -25.00000000     18.42316980         
 1          1          1.00000000       1          1          4          833.22376630     -25.00000000     21.24964534         
 1          1          1.00000000       1          1          5          1050.94661555    -25.00000000     23.65241648         
 1          1          1.00000000       1          1          6          1259.59767945    -25.00000000     25.74102216         
 1          1          1.00000000       1          1          7          1459.90270080    -25.00000000     27.60038271         
 1          1          1.00000000       1          1          8          1651.86167960    -25.00000000     29.26929149         
 1          1          1.00000000       1          1          9          1836.14229925    -25.00000000     30.78800747         
 1          1          1.00000000       1          1          10         2012.74455975    -25.00000000     32.17481721         
 1          1          1.00000000       1          1          11         2182.28272980    -25.00000000     33.45312701         
 1          1          1.00000000       1          1          12         2344.75680940    -25.00000000     34.63298668         
 1          1          1.00000000       1          1          13         2500.73192585    -25.00000000     35.72971679         
 1          1          1.00000000       1          1          14         2650.20807915    -25.00000000     36.74939674         
 1          1          1.00000000       1          1          15         2793.70518630    -25.00000000     37.70285561         
 1          1          1.00000000       1          1          16         2931.22324730    -25.00000000     38.59402009         
 1          1          1.00000000       1          1          17         3063.24058585    -25.00000000     39.43096397         
 1          1          1.00000000       1          1          18         3189.75720195    -25.00000000     40.21634677         
 1          1          1.00000000       1          1          19         3311.21315340    -25.00000000     40.95642629         
 1          1          1.00000000       1          1          20         3427.60844020    -25.00000000     41.65306950         
 1          1          1.00000000       1          1          21         3539.34791555    -25.00000000     42.31127064         
 1          1          1.00000000       1          1          22         3646.43157945    -25.00000000     42.93237735         
 1          1          1.00000000       1          1          23         3749.23189679    -25.00000000     43.52046673         
 1          1          1.00000000       1          1          24         3847.74886756    -25.00000000     44.07653344         
 1          1          1.00000000       1          1          25         3942.32515950    -25.00000000     44.60396594         
 1          1          1.00000000       1          1          26         4032.96077261    -25.00000000     45.10351179         
 1          1          1.00000000       1          1          27         4119.97096119    -25.00000000     45.57802801         
 1          1          1.00000000       1          1          28         4203.35572525    -25.00000000     46.02808490         
 1          1          1.00000000       1          1          29         4283.40509875    -25.00000000     46.45611992         
 1          1          1.00000000       1          1          30         4360.11908169    -25.00000000     46.86257362         
 1          1          1.00000000       1          1          31         4433.76450531    -25.00000000     47.24954588         
 1          1          1.00000000       1          1          32         4504.34136961    -25.00000000     47.61738063         
 1          1          1.00000000       1          1          33         4572.09515934    -25.00000000     47.96790174         
 1          1          1.00000000       1          1          34         4637.02587450    -25.00000000     48.30138014         
 1          1          1.00000000       1          1          35         4699.35936105    -25.00000000     48.61941090         
 1          1          1.00000000       1          1          36         4759.09561899    -25.00000000     48.92220913         
 1          1          1.00000000       1          1          37         4816.44242661    -25.00000000     49.21117799         
 1          1          1.00000000       1          1          38         4871.39978392    -25.00000000     49.48648943         
 1          1          1.00000000       1          1          39         4924.15884694    -25.00000000     49.74938401         
 1          1          1.00000000       1          1          40         4974.71961566    -25.00000000     50.00000000         
