 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          1          1.00000000       28         7.77720023e-02   1.36105106e+01   8.58421585e-02   1.54538834e+00   0.00000000e+00   0.00000000e+00   6.80377204e-02   1.34895980e+01   0.00000000e+00   1.76187735e+00   8.72340085e-08  
 1          1          1.00000000       29         8.32266496e-02   1.34895980e+01   1.01901023e-01   5.25922328e-01   0.00000000e+00   0.00000000e+00   8.58421585e-02   1.23102878e+01   0.00000000e+00   1.80451801e+00   -1.17614363e-08 
 1          1          1.00000000       30         8.88475616e-02   1.23102878e+01   1.16253114e-01   7.68950102e-01   0.00000000e+00   0.00000000e+00   1.01901023e-01   1.13394602e+01   0.00000000e+00   1.84297737e+00   -2.42384992e-08 
 1          1          1.00000000       31         9.46404059e-02   1.13394602e+01   1.28941028e-01   1.44539469e+00   0.00000000e+00   0.00000000e+00   1.16253114e-01   1.10148248e+01   0.00000000e+00   1.87735848e+00   -7.15751334e-08 
 1          1          1.00000000       32         1.00621780e-01   1.10148248e+01   1.40016100e-01   4.88452455e-01   0.00000000e+00   0.00000000e+00   1.28941028e-01   9.70719595e+00   0.00000000e+00   1.90777828e+00   -1.04842243e-07 
 1          1          1.00000000       33         1.06767521e-01   9.70719595e+00   1.50907848e-01   7.09350716e-01   0.00000000e+00   0.00000000e+00   1.40016100e-01   8.59982099e+00   0.00000000e+00   1.93438504e+00   -9.98209266e-08 
 1          1          1.00000000       34         1.13083005e-01   8.59982099e+00   1.67219645e-01   1.31202255e+00   0.00000000e+00   0.00000000e+00   1.50907848e-01   8.08384685e+00   0.00000000e+00   1.95739160e+00   -1.05587411e-07 
 1          1          1.00000000       35         1.19583210e-01   8.08384685e+00   1.80867626e-01   4.37515136e-01   0.00000000e+00   0.00000000e+00   1.67219645e-01   6.67744657e+00   0.00000000e+00   1.97714668e+00   -6.59820518e-08 
 1          1          1.00000000       36         1.26246194e-01   6.67744657e+00   1.92304661e-01   6.26564588e-01   0.00000000e+00   0.00000000e+00   1.80867626e-01   5.44738715e+00   0.00000000e+00   1.99430725e+00   -1.86529823e-08 
 1          1          1.00000000       37         1.33076539e-01   5.44738715e+00   2.04310294e-01   1.11307292e+00   0.00000000e+00   0.00000000e+00   1.92304661e-01   4.69522630e+00   0.00000000e+00   2.01031592e+00   2.77720700e-08  
 1          1          1.00000000       38         1.40085915e-01   4.69522630e+00   2.18057483e-01   3.56901520e-01   0.00000000e+00   0.00000000e+00   2.04310294e-01   3.17695000e+00   0.00000000e+00   2.02901087e+00   5.96440604e-08  
 1          1          1.00000000       39         1.47253448e-01   3.17695000e+00   2.30632642e-01   4.85858765e-01   0.00000000e+00   0.00000000e+00   2.18057483e-01   1.75824397e+00   0.00000000e+00   2.06439329e+00   1.15113814e-07  
 1          1          1.00000000       40         1.54570318e-01   1.75824397e+00   0.00000000e+00   5.31015949e-01   0.00000000e+00   0.00000000e+00   2.30632642e-01   0.00000000e+00   0.00000000e+00   2.21319732e+00   2.73591453e-07  
 1          2          2.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.20012849e-09   0.00000000e+00   0.00000000e+00   -1.27897692e-13 
