 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          1.00000000       1          1          1          125.00000000     -25.00000000     10.00000000         
 1          1          1.00000000       1          1          2          375.00000000     -25.00000000     15.04379994         
 1          1          1.00000000       1          1          3          625.00000000     -25.00000000     18.77849427         
 1          1          1.00000000       1          1          4          875.00000000     -25.00000000     21.88487428         
 1          1          1.00000000       1          1          5          1125.00000000    -25.00000000     24.60210432         
 1          1          1.00000000       1          1          6          1375.00000000    -25.00000000     27.04772272         
 1          1          1.00000000       1          1          7          1625.00000000    -25.00000000     29.28984534         
 1          1          1.00000000       1          1          8          1875.00000000    -25.00000000     31.37213346         
 1          1          1.00000000       1          1          9          2125.00000000    -25.00000000     33.32456254         
 1          1          1.00000000       1          1          10         2375.00000000    -25.00000000     35.16876710         
 1          1          1.00000000       1          1          11         2625.00000000    -25.00000000     36.92096826         
 1          1          1.00000000       1          1          12         2875.00000000    -25.00000000     38.59369930         
 1          1          1.00000000       1          1          13         3125.00000000    -25.00000000     40.19688256         
 1          1          1.00000000       1          1          14         3375.00000000    -25.00000000     41.73853284         
 1          1          1.00000000       1          1          15         3625.00000000    -25.00000000     43.22523448         
 1          1          1.00000000       1          1          16         3875.00000000    -25.00000000     44.66247513         
 1          1          1.00000000       1          1          17         4125.00000000    -25.00000000     46.05488563         
 1          1          1.00000000       1          1          18         4375.00000000    -25.00000000     47.40641636         
 1          1          1.00000000       1          1          19         4625.00000000    -25.00000000     48.72046950         
 1          1          1.00000000       1          1          20         4875.00000000    -25.00000000     50.00000000         
