 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD             DrawDown
 1          1          1.00000000       1          1          1          125.00000000     -25.00000000     0.00000000          
 1          1          1.00000000       1          1          2          375.00000000     -25.00000000     34.95620006         
 1          1          1.00000000       1          1          3          625.00000000     -25.00000000     31.22150573         
 1          1          1.00000000       1          1          4          875.00000000     -25.00000000     28.11512572         
 1          1          1.00000000       1          1          5          1125.00000000    -25.00000000     25.39789568         
 1          1          1.00000000       1          1          6          1375.00000000    -25.00000000     22.95227728         
 1          1          1.00000000       1          1          7          1625.00000000    -25.00000000     20.71015466         
 1          1          1.00000000       1          1          8          1875.00000000    -25.00000000     18.62786654         
 1          1          1.00000000       1          1          9          2125.00000000    -25.00000000     16.67543746         
 1          1          1.00000000       1          1          10         2375.00000000    -25.00000000     14.83123290         
 1          1          1.00000000       1          1          11         2625.00000000    -25.00000000     13.07903174         
 1          1          1.00000000       1          1          12         2875.00000000    -25.00000000     11.40630070         
 1          1          1.00000000       1          1          13         3125.00000000    -25.00000000     9.80311744          
 1          1          1.00000000       1          1          14         3375.00000000    -25.00000000     8.26146716          
 1          1          1.00000000       1          1          15         3625.00000000    -25.00000000     6.77476552          
 1          1          1.00000000       1          1          16         3875.00000000    -25.00000000     5.33752487          
 1          1          1.00000000       1          1          17         4125.00000000    -25.00000000     3.94511437          
 1          1          1.00000000       1          1          18         4375.00000000    -25.00000000     2.59358364          
 1          1          1.00000000       1          1          19         4625.00000000    -25.00000000     1.27953050          
 1          1          1.00000000       1          1          20         4875.00000000    -25.00000000     0.00000000          
