 IPER  ISTEP           DLEN           ILYR    IROW   ICOL            XCORD               YCORD                      FlowX                    FlowY                   FlowZ
 1          1          1.00000000       1          1          1          125.00000000     -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          2          375.00000000     -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          3          625.00000000     -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          4          875.00000000     -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          5          1125.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          6          1375.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          7          1625.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          8          1875.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          9          2125.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          10         2375.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          11         2625.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          12         2875.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          13         3125.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          14         3375.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          15         3625.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          16         3875.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          17         4125.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          18         4375.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          19         4625.00000000    -25.00000000     -6.31579293e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          20         4875.00000000    -25.00000000     0.00000000e+00   0.00000000e+00   0.00000000e+00  
