 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     FBC                     CNH                     ABER
 1          1          1.00000000       1          1          1          6.15385093e+02   -6.15385093e+02  0.00000000e+00  
 1          1          1.00000000       1          1          2          -3.41060513e-13  0.00000000e+00   -3.41060513e-13 
 1          1          1.00000000       1          1          3          3.41060513e-13   0.00000000e+00   3.41060513e-13  
 1          1          1.00000000       1          1          4          4.54747351e-13   0.00000000e+00   4.54747351e-13  
 1          1          1.00000000       1          1          5          -6.82121026e-13  0.00000000e+00   -6.82121026e-13 
 1          1          1.00000000       1          1          6          2.27373675e-13   0.00000000e+00   2.27373675e-13  
 1          1          1.00000000       1          1          7          -5.68434189e-13  0.00000000e+00   -5.68434189e-13 
 1          1          1.00000000       1          1          8          9.09494702e-13   0.00000000e+00   9.09494702e-13  
 1          1          1.00000000       1          1          9          -1.36424205e-12  0.00000000e+00   -1.36424205e-12 
 1          1          1.00000000       1          1          10         6.82121026e-13   0.00000000e+00   6.82121026e-13  
 1          1          1.00000000       1          1          11         1.59161573e-12   0.00000000e+00   1.59161573e-12  
 1          1          1.00000000       1          1          12         -2.72848411e-12  0.00000000e+00   -2.72848411e-12 
 1          1          1.00000000       1          1          13         1.36424205e-12   0.00000000e+00   1.36424205e-12  
 1          1          1.00000000       1          1          14         -1.13686838e-13  0.00000000e+00   -1.13686838e-13 
 1          1          1.00000000       1          1          15         1.70530257e-12   0.00000000e+00   1.70530257e-12  
 1          1          1.00000000       1          1          16         -4.32009983e-12  0.00000000e+00   -4.32009983e-12 
 1          1          1.00000000       1          1          17         4.77484718e-12   0.00000000e+00   4.77484718e-12  
 1          1          1.00000000       1          1          18         -3.41060513e-13  0.00000000e+00   -3.41060513e-13 
 1          1          1.00000000       1          1          19         -5.34328137e-12  0.00000000e+00   -5.34328137e-12 
 1          1          1.00000000       1          1          20         6.70752343e-12   0.00000000e+00   6.70752343e-12  
 1          1          1.00000000       1          1          21         -3.97903932e-12  0.00000000e+00   -3.97903932e-12 
 1          1          1.00000000       1          1          22         -9.09494702e-13  0.00000000e+00   -9.09494702e-13 
 1          1          1.00000000       1          1          23         2.61479727e-12   0.00000000e+00   2.61479727e-12  
 1          1          1.00000000       1          1          24         1.47792889e-12   0.00000000e+00   1.47792889e-12  
 1          1          1.00000000       1          1          25         -4.20641300e-12  0.00000000e+00   -4.20641300e-12 
 1          1          1.00000000       1          1          26         4.43378667e-12   0.00000000e+00   4.43378667e-12  
 1          1          1.00000000       1          1          27         -3.06954462e-12  0.00000000e+00   -3.06954462e-12 
 1          1          1.00000000       1          1          28         -2.27373675e-13  0.00000000e+00   -2.27373675e-13 
 1          1          1.00000000       1          1          29         6.82121026e-13   0.00000000e+00   6.82121026e-13  
 1          1          1.00000000       1          1          30         -5.68434189e-13  0.00000000e+00   -5.68434189e-13 
 1          1          1.00000000       1          1          31         -5.68434189e-13  0.00000000e+00   -5.68434189e-13 
 1          1          1.00000000       1          1          32         1.81898940e-12   0.00000000e+00   1.81898940e-12  
 1          1          1.00000000       1          1          33         -1.93267624e-12  0.00000000e+00   -1.93267624e-12 
 1          1          1.00000000       1          1          34         5.34328137e-12   0.00000000e+00   5.34328137e-12  
 1          1          1.00000000       1          1          35         -6.59383659e-12  0.00000000e+00   -6.59383659e-12 
 1          1          1.00000000       1          1          36         4.54747351e-12   0.00000000e+00   4.54747351e-12  
 1          1          1.00000000       1          1          37         -3.41060513e-13  0.00000000e+00   -3.41060513e-13 
 1          1          1.00000000       1          1          38         -3.18323146e-12  0.00000000e+00   -3.18323146e-12 
 1          1          1.00000000       1          1          39         2.27373675e-13   0.00000000e+00   2.27373675e-13  
 1          1          1.00000000       1          1          40         -6.15385093e+02  6.15385093e+02   0.00000000e+00  
