 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          1          1.00000000       28         7.82899563e-02   1.37060382e+01   4.46984202e-02   1.51596923e+00   0.00000000e+00   0.00000000e+00   1.36350375e-01   1.33728564e+01   0.00000000e+00   1.83578815e+00   8.96481808e-07  
 1          1          1.00000000       29         8.24984647e-02   1.33728564e+01   1.61486074e-01   5.15168536e-01   0.00000000e+00   0.00000000e+00   4.46984202e-02   1.23706978e+01   0.00000000e+00   1.71661284e+00   3.65379847e-07  
 1          1          1.00000000       30         8.94052236e-02   1.23706978e+01   1.09366714e-01   7.44179753e-01   0.00000000e+00   0.00000000e+00   1.61486074e-01   1.12375427e+01   0.00000000e+00   1.91462010e+00   5.92219342e-07  
 1          1          1.00000000       31         9.38601150e-02   1.12375427e+01   1.81444209e-01   1.56857858e+00   0.00000000e+00   0.00000000e+00   1.09366714e-01   1.11771774e+01   0.00000000e+00   1.79488123e+00   3.25787802e-07  
 1          1          1.00000000       32         1.01223285e-01   1.11771774e+01   1.67331258e-01   4.52915146e-01   0.00000000e+00   0.00000000e+00   1.81444209e-01   9.73960448e+00   0.00000000e+00   1.97759814e+00   2.33440808e-07  
 1          1          1.00000000       33         1.05931833e-01   9.73960448e+00   1.96440533e-01   6.75386879e-01   0.00000000e+00   0.00000000e+00   1.67331258e-01   8.69408156e+00   0.00000000e+00   1.85595085e+00   5.27736912e-08  
 1          1          1.00000000       34         1.13739256e-01   8.69408156e+00   2.09556841e-01   1.28736173e+00   0.00000000e+00   0.00000000e+00   1.96440533e-01   8.08270144e+00   0.00000000e+00   2.02559735e+00   7.31189154e-08  
 1          1          1.00000000       35         1.18697842e-01   8.08270144e+00   2.28432503e-01   4.28763527e-01   0.00000000e+00   0.00000000e+00   2.09556841e-01   6.74791919e+00   0.00000000e+00   1.90111939e+00   -1.17492176e-07 
 1          1          1.00000000       36         1.26944337e-01   6.74791919e+00   2.37774068e-01   6.06682586e-01   0.00000000e+00   0.00000000e+00   2.28432503e-01   5.43057273e+00   0.00000000e+00   2.06031494e+00   1.69873120e-08  
 1          1          1.00000000       37         1.32139407e-01   5.43057273e+00   2.54422755e-01   1.20786131e+00   0.00000000e+00   0.00000000e+00   2.37774068e-01   4.85308228e+00   0.00000000e+00   1.93413992e+00   -6.43126281e-08 
 1          1          1.00000000       38         1.40830509e-01   4.85308228e+00   2.66325966e-01   3.26838391e-01   0.00000000e+00   0.00000000e+00   2.54422755e-01   3.24379133e+00   0.00000000e+00   2.08886295e+00   1.03990885e-07  
 1          1          1.00000000       39         1.46265437e-01   3.24379133e+00   2.57243540e-01   4.62554576e-01   0.00000000e+00   0.00000000e+00   2.66325966e-01   1.87110555e+00   0.00000000e+00   1.97242319e+00   1.81617818e-07  
 1          1          1.00000000       40         1.55368975e-01   1.87110555e+00   0.00000000e+00   5.20016889e-01   0.00000000e+00   0.00000000e+00   2.57243540e-01   0.00000000e+00   0.00000000e+00   2.28924834e+00   -4.60317509e-07 
 1          2          2.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.19986322e-09   0.00000000e+00   0.00000000e+00   1.37371596e-13  
 1          2          2.00000000       2          9.60000079e-09   7.19986322e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.68000724e-08   0.00000000e+00   0.00000000e+00   -2.08425869e-13 
 1          2          2.00000000       3          8.85443709e-01   1.68000724e-08   0.00000000e+00   7.54194755e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.63945001e+00   0.00000000e+00   0.00000000e+00   1.88474673e-04  
 1          2          2.00000000       4          8.93155924e-01   1.63945001e+00   0.00000000e+00   3.75146073e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.28426238e+00   0.00000000e+00   0.00000000e+00   -1.95716644e-04 
 1          2          2.00000000       5          6.75001122e-01   6.28426238e+00   0.00000000e+00   1.27863042e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.23786135e+00   0.00000000e+00   0.00000000e+00   3.25670042e-05  
 1          2          2.00000000       6          6.77835877e-01   8.23786135e+00   0.00000000e+00   1.86482549e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.07805028e+01   0.00000000e+00   0.00000000e+00   1.99397122e-05  
 1          2          2.00000000       7          4.77078189e-01   1.07805028e+01   0.00000000e+00   4.04099171e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.52986359e+01   0.00000000e+00   0.00000000e+00   -6.32434511e-05 
 1          2          2.00000000       8          4.84339321e-01   1.52986359e+01   0.00000000e+00   1.19813778e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.69811310e+01   0.00000000e+00   0.00000000e+00   -1.80156063e-05 
 1          2          2.00000000       9          3.04069353e-01   1.69811310e+01   0.00000000e+00   1.81697115e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.91021872e+01   0.00000000e+00   0.00000000e+00   -1.56611360e-05 
 1          2          2.00000000       10         3.20718809e-01   1.91021872e+01   0.00000000e+00   3.62928688e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.30522297e+01   0.00000000e+00   0.00000000e+00   -3.68112863e-05 
 1          2          2.00000000       11         1.66984545e-01   2.30522297e+01   0.00000000e+00   1.25253540e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.44490507e+01   0.00000000e+00   2.27804438e-02   -8.14891755e-05 
 1          2          2.00000000       12         1.97035490e-01   2.44490507e+01   0.00000000e+00   1.83478042e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.62880076e+01   0.00000000e+00   1.92777716e-01   8.13261212e-05  
 1          2          2.00000000       13         8.83935298e-02   2.62880076e+01   0.00000000e+00   3.98111226e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.99282153e+01   0.00000000e+00   4.29271163e-01   2.69081346e-05  
 1          2          2.00000000       14         1.10869871e-01   2.99282153e+01   0.00000000e+00   1.17887205e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.03524576e+01   0.00000000e+00   8.65471560e-01   2.80232773e-05  
 1          2          2.00000000       15         7.46475633e-02   3.03524576e+01   0.00000000e+00   1.78519501e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.13047433e+01   0.00000000e+00   9.07549022e-01   7.86839613e-06  
 1          2          2.00000000       16         6.11359876e-02   3.13047433e+01   0.00000000e+00   3.54965156e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.32626425e+01   0.00000000e+00   1.65288271e+00   5.65223726e-06  
 1          2          2.00000000       17         6.09162870e-02   3.32626425e+01   0.00000000e+00   1.22092525e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.31067437e+01   0.00000000e+00   1.43773914e+00   1.14319237e-06  
 1          2          2.00000000       18         4.47123059e-02   3.31067437e+01   0.00000000e+00   1.78303294e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.27484253e+01   0.00000000e+00   2.18606020e+00   3.46428897e-06  
 1          2          2.00000000       19         5.66673932e-02   3.27484253e+01   0.00000000e+00   3.84560095e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.47349341e+01   0.00000000e+00   1.91575781e+00   1.70603882e-06  
 1          2          2.00000000       20         4.39586349e-02   3.47349341e+01   0.00000000e+00   1.13313084e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.33352650e+01   0.00000000e+00   2.57675663e+00   2.02579691e-06  
 1          2          2.00000000       21         5.56220328e-02   3.33352650e+01   1.63510760e-02   1.71105783e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.28138329e+01   0.00000000e+00   2.30446175e+00   1.21858621e-06  
 1          2          2.00000000       22         5.01130082e-02   3.28138329e+01   0.00000000e+00   3.37866191e+00   0.00000000e+00   0.00000000e+00   1.63510760e-02   3.33320359e+01   0.00000000e+00   2.89421913e+00   1.71836790e-06  
 1          2          2.00000000       23         5.68307513e-02   3.33320359e+01   1.06485846e-01   1.15656239e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.20178244e+01   0.00000000e+00   2.63408980e+00   7.29320131e-07  
 1          2          2.00000000       24         5.90868046e-02   3.20178244e+01   0.00000000e+00   1.68199870e+00   0.00000000e+00   0.00000000e+00   1.06485846e-01   3.04875875e+01   0.00000000e+00   3.16483528e+00   1.27126805e-06  
